Name Mapping for ICES LEGO Models

arm_holes			Half-Arm
brick_thick			2x4 Brick
brick_thick_round		2x2 Brick w/ Axle Hole
brick_thick_single		1x4 Brick
brick_thick_single_hole		1x4 Technic Beam
brick_thin			4x6 Plate
brick_thin_hole			2x4 Technic Plate
brick_thin_round		2x2 Round Plate w/ Axle Hole
brick_thin_single		1x8 Plate
brick_thin_single_hinge		1x4 Plate w/ Minus Hinge
brick_thin_single_single	1x1 Plate
gear_16				16 Tooth Gear
gear_24_a			24 Tooth Gear
gear_24_b			24 Tooth Crown Gear
gear_40				40 Tooth Gear
gear_8				8 Tooth Gear
gear_flat			15 Tooth Rack Gear
gear_helix			Worm Gear
gear_pin0			Half Pin
gear_pin1			Grey Pin
gear_shaft			6 Axle
gear_snap_thick			Bushing
gear_snap_thin			Half Bushing w/ Locks
motor				9 Volt Geared Motor
shafted_connector		Plane Convertor w/ Axle & Technic Holes
