! INDEX   TOOL NAME   ORIENT     INDEXABLE   HOLDER SIZE   OFFSET REG   STANDARD   
 3       T28A        0.000000   YES         -             -1.000000    NO         
 5       T04B        0.000000   YES         -             -1.000000    NO         
 18      T42C        0.000000   YES         -             -1.000000    NO         
 31      T10D        0.000000   YES         -             -1.000000    NO         
 34      T43C        0.000000   YES         -             -1.000000    NO         
 35      T37T        0.000000   YES         -             -1.000000    NO         
 36      T37U        0.000000   YES         -             -1.000000    NO         
 44      T21B        0.000000   YES         -             -1.000000    NO         
 46      T24A        0.000000   YES         -             -1.000000    NO         
 47      T21C        0.000000   YES         -             -1.000000    NO         
 48      T31C        0.000000   YES         -             -1.000000    NO         
 50      T06A        0.000000   YES         -             -1.000000    NO         
 52      T18A        0.000000   YES         -             -1.000000    NO         
 54      T43A        0.000000   YES         -             -1.000000    NO         
 55      T43B        0.000000   YES         -             -1.000000    NO         
 56      T24B        0.000000   YES         -             -1.000000    NO         
 58      T09A        0.000000   YES         -             -1.000000    NO         
 102     T02         0.000000   YES         -             -1.000000    NO         
 105     T05         0.000000   YES         -             -1.000000    NO         
 108     T08         0.000000   YES         -             -1.000000    NO         
 111     T11         0.000000   YES         -             -1.000000    NO         
 114     T14         0.000000   YES         -             -1.000000    NO         
 117     T17         0.000000   YES         -             -1.000000    NO         
 120     T20         0.000000   YES         -             -1.000000    NO         
 122     T22         0.000000   YES         -             -1.000000    NO         
 126     T26         0.000000   YES         -             -1.000000    NO         
 129     T29         0.000000   YES         -             -1.000000    NO         
 132     T32         0.000000   YES         -             -1.000000    NO         
 135     T35         0.000000   YES         -             -1.000000    NO         
 138     T38         0.000000   YES         -             -1.000000    NO         
 141     T41         0.000000   YES         -             -1.000000    NO         
 144     T44         0.000000   YES         -             -1.000000    NO         
 146     T46         0.000000   YES         -             -1.000000    NO         
 203     T03         0.000000   YES         -             -1.000000    NO         
 207     T07         0.000000   YES         -             -1.000000    NO         
 210     T10         0.000000   YES         -             -1.000000    NO         
 212     T12         0.000000   YES         -             -1.000000    NO         
 216     T16         0.000000   YES         -             -1.000000    NO         
 219     T19         0.000000   YES         -             -1.000000    NO         
 223     T23         0.000000   YES         -             -1.000000    NO         
 227     T27         0.000000   YES         -             -1.000000    NO         
 231     T31         0.000000   YES         -             -1.000000    NO         
 234     T34         0.000000   YES         -             -1.000000    NO         
 236     T36         0.000000   YES         -             -1.000000    NO         
 240     T40         0.000000   YES         -             -1.000000    NO         
 243     T43         0.000000   YES         -             -1.000000    NO         
 247     T47         0.000000   YES         -             -1.000000    NO         
 304     T04         0.000000   YES         -             -1.000000    NO         
 306     T06         0.000000   YES         -             -1.000000    NO         
 309     T09         0.000000   YES         -             -1.000000    NO         
 313     T13         0.000000   YES         -             -1.000000    NO         
 315     T15         0.000000   YES         -             -1.000000    NO         
 318     T18         0.000000   YES         -             -1.000000    NO         
 321     T21         0.000000   YES         -             -1.000000    NO         
 324     T24         0.000000   YES         -             -1.000000    NO         
 328     T28         0.000000   YES         -             -1.000000    NO         
 330     T30         0.000000   YES         -             -1.000000    NO         
 333     T33         0.000000   YES         -             -1.000000    NO         
 337     T37         0.000000   YES         -             -1.000000    NO         
 339     T39         0.000000   YES         -             -1.000000    NO         
 342     T42         0.000000   YES         -             -1.000000    NO         
 348     T48         0.000000   YES         -             -1.000000    NO         
